country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BIH,70,0.2,0,0,0,2617,8531,671,0.23475062791532114,0.7959245742092458,0.22142313224469076,0.3625658077029648
BGR,70,0.2,0,0,0,7489,25168,1491,0.22932296291759807,0.8339643652561247,0.21931006208269885,0.35972812642601537
ALB,70,0.2,0,0,0,1476,3415,157,0.301778777346146,0.9038579301898346,0.29239302694136293,0.45248313917841815
AUT,70,0.2,0,0,0,7187,14497,869,0.33144253827707065,0.8921300893743793,0.3186715736265685,0.4833221250840618
CHE,70,0.2,0,0,0,6720,4997,728,0.5735256464965435,0.9022556390977443,0.5399758939333066,0.7012783720323507
BEL,70,0.2,0,0,0,8192,13660,801,0.37488559399597293,0.9109307238963639,0.36162980620668345,0.5311719889771439
EST,70,0.2,0,0,0,3024,4291,3835,0.4133971291866029,0.4408805948388978,0.27121076233183855,0.4266967687314802
GRC,70,0.2,0,0,0,7428,36519,508,0.16902177623045941,0.9359879032258065,0.16709031604993815,0.28633656496347554
DNK,70,0.2,0,0,0,7302,10522,6024,0.40967235188509876,0.5479513732552904,0.3061891982556189,0.4688282504012841
HUN,70,0.2,0,0,0,5874,24286,86,0.19476127320954909,0.9855704697986577,0.19420749851219996,0.325249169435216
HRV,70,0.2,0,0,0,6035,10915,974,0.356047197640118,0.8610358111000143,0.33669939745592503,0.5037772861972536
BLR,70,0.2,0,0,0,11624,16427,16804,0.41438807885636875,0.40889264105811174,0.2591461375543418,0.41162201880344906
IRL,70,0.2,0,0,0,3091,16584,154,0.15710292249047014,0.9525423728813559,0.1558827979222351,0.2697207678883071
LIE,70,0.2,0,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
CZE,70,0.2,0,0,0,11458,21988,355,0.34258207259463014,0.9699483619740963,0.3389840537262211,0.5063302326609072
LUX,70,0.2,0,0,0,993,1016,5,0.49427575908412147,0.9949899799599199,0.4930486593843098,0.660458929165281
LVA,70,0.2,0,0,0,2206,6419,347,0.255768115942029,0.864081472777125,0.2458760588497548,0.3947038826265879
MKD,70,0.2,0,0,0,1113,4982,83,0.1826086956521739,0.9306020066889632,0.1801553900938815,0.30530791386641065
LTU,70,0.2,0,0,0,4425,6034,6585,0.4230806004398126,0.4019073569482289,0.2596221544238442,0.41222227397643113
MNE,70,0.2,0,0,0,663,1409,347,0.319980694980695,0.6564356435643565,0.2740801984291029,0.4302401038286826
NLD,70,0.2,0,0,0,4696,13951,691,0.25183675658282834,0.8717282346389457,0.24283793567070017,0.39077972871765
MDA,70,0.2,0,0,0,3602,4102,3830,0.4675493250259605,0.48466092572658775,0.3122940870469915,0.47595137420718814
DEU,70,0.2,0,0,0,44616,92796,3383,0.32468780019212296,0.9295193649867706,0.31688625306296386,0.4812659443075114
ESP,70,0.2,0,0,0,35052,86629,10074,0.2880646937484077,0.7767584097859327,0.26603923949755226,0.42027013254839424
SVN,70,0.2,0,0,0,2062,4229,242,0.32776982991575265,0.8949652777777778,0.3156283483851217,0.47981384525887144
ITA,70,0.2,0,0,0,42543,61425,2277,0.4091932132963989,0.9491967871485943,0.4004235493434985,0.5718606339220904
SRB,70,0.2,0,0,0,5463,18600,320,0.22702904874703903,0.9446653985820508,0.22404954271418612,0.3660792065938484
PRT,70,0.2,0,0,0,12637,24997,1828,0.3357867885422756,0.873625993778085,0.3202321220414576,0.48511487744486465
SVK,70,0.2,0,0,0,4788,9376,767,0.33804010166619597,0.861926192619262,0.3206751054852321,0.48562300319488816
POL,70,0.2,0,0,0,30963,88897,680,0.25832638077757386,0.9785102550327086,0.25686908909905426,0.40874438129938023
ROU,70,0.2,0,0,0,16891,57385,2642,0.22740858419947224,0.8647417191419648,0.2195974934345667,0.3601147011480775
FRA,70,0.2,0,0,0,60981,111932,18085,0.35266868309496685,0.7712670427238004,0.319275594508843,0.48401652518662275
GBR,70,0.2,0,0,0,22992,57842,9279,0.2844347675483089,0.7124663010132937,0.255146316291767,0.40656027584987403
UKR,70,0.2,0,0,0,58699,61722,66307,0.4874482025560326,0.46956946066588806,0.3143556402896191,0.4783418287311502
