country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
BEL,70,0.2,1,0,0,7409,14231,282,0.34237523105360446,0.9633337667403459,0.3379709880485357,0.5051992772152332
BIH,70,0.2,1,0,0,2550,8345,699,0.23405231757687012,0.7848568790397045,0.21994134897360704,0.360576923076923
BGR,70,0.2,1,0,0,7210,24525,1588,0.22719394989758943,0.8195044328256422,0.21636707379287579,0.35575950460118916
CHE,70,0.2,1,0,0,6562,5050,623,0.5651050637271788,0.9132915796798886,0.5363302002451982,0.6981965207213917
ALB,70,0.2,1,0,0,1415,3392,201,0.2943623881838985,0.8756188118811881,0.2825479233226837,0.4406040790907675
EST,70,0.2,1,0,0,2822,4222,3749,0.40062464508801815,0.4294627910515903,0.2614657648475864,0.41454278369445463
AUT,70,0.2,1,0,0,6558,14782,339,0.3073102155576382,0.9508481948673336,0.3025047280778634,0.464496936643411
DNK,70,0.2,1,0,0,5967,11375,4196,0.34407796101949023,0.5871297845124471,0.2770452223976228,0.43388474822759493
HUN,70,0.2,1,0,0,5529,23813,56,0.18843296298820802,0.9899731423455684,0.18807401864072387,0.31660320096200645
GRC,70,0.2,1,0,0,7332,35741,449,0.1702226452766234,0.9422953347898728,0.16846652267818574,0.2883548983364141
IRL,70,0.2,1,0,0,2876,16129,6,0.1513285977374375,0.9979181124219292,0.15128083740992057,0.26280440444099235
HRV,70,0.2,1,0,0,5912,10704,926,0.35580163697640826,0.8645802866335186,0.33701972409075365,0.5041357550950797
LIE,70,0.2,1,0,0,26,89,0,0.22608695652173913,1.0,0.22608695652173913,0.36879432624113473
LTU,70,0.2,1,0,0,4115,5918,6709,0.41014651649556466,0.3801736881005174,0.24578903356827142,0.394591743779067
LUX,70,0.2,1,0,0,979,1016,4,0.4907268170426065,0.9959308240081384,0.4897448724362181,0.6574882471457354
LVA,70,0.2,1,0,0,1847,6345,159,0.2254638671875,0.9207377866400798,0.2211711172314693,0.36222788782114146
BLR,70,0.2,1,0,0,11086,15760,17161,0.41294792520300977,0.39246645661486174,0.2519144681527939,0.4024467718221916
MKD,70,0.2,1,0,0,1034,4857,129,0.17552198268545238,0.8890799656061908,0.17176079734219268,0.2931669974482563
MDA,70,0.2,1,0,0,3500,3917,3974,0.471888903869489,0.4682900722504683,0.3072601176367308,0.4700826002283259
MNE,70,0.2,1,0,0,666,1372,321,0.3267909715407262,0.6747720364741642,0.2823230182280627,0.4403305785123967
NLD,70,0.2,1,0,0,3885,14561,40,0.21061476742925295,0.9898089171974522,0.2101590392729633,0.34732466139198065
CZE,70,0.2,1,0,0,10829,21954,327,0.3303236433517372,0.9706884187880961,0.327061310782241,0.49291062609526837
DEU,70,0.2,1,0,0,41530,93881,635,0.30669591096735127,0.9849401162101269,0.3052643958661041,0.467743388746227
ITA,70,0.2,1,0,0,41873,61026,2109,0.4069330119826237,0.9520485653221773,0.39876009446899285,0.5701622401808266
SVN,70,0.2,1,0,0,2029,4183,224,0.3266258853831294,0.9005770084332002,0.31525792417650716,0.4793857058476078
SRB,70,0.2,1,0,0,5444,18155,333,0.23068774100597483,0.9423576250649126,0.22747785391943842,0.37064270152505446
POL,70,0.2,1,0,0,29399,87885,439,0.2506650523515569,0.985287217641933,0.24973029909193614,0.39965470833729827
SVK,70,0.2,1,0,0,4705,9228,713,0.33768750448575324,0.8684016242155776,0.3212481223542264,0.4862797788227999
PRT,70,0.2,1,0,0,12412,24452,1907,0.3366970486111111,0.8668203086807738,0.32013618426143253,0.4850047867455991
ESP,70,0.2,1,0,0,33599,84320,9419,0.2849328776533044,0.781045143893254,0.2638568220012879,0.41754226809248335
ROU,70,0.2,1,0,0,16771,55791,2686,0.23112648493701937,0.8619519967106953,0.22287635551775462,0.36451167693628483
FRA,70,0.2,1,0,0,53418,115931,16039,0.31543144630319636,0.7690801503088242,0.2881416272897922,0.44737569407803823
GBR,70,0.2,1,0,0,19644,59695,4403,0.24759575996672506,0.8169002370358048,0.2345776312961238,0.38001276768614706
UKR,70,0.2,1,0,0,55677,59924,68352,0.4816307817406424,0.44890307911859323,0.3026697036743081,0.46469139924049574
