country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,1.0,1,0,0,50,53,3,0.4854368932038835,0.9433962264150944,0.4716981132075472,0.6410256410256411
BIH,70,1.0,1,0,0,3150,11736,436,0.21160822249093109,0.8784160624651423,0.20558673802375668,0.341056734517107
BGR,70,1.0,1,0,0,8331,28656,1199,0.22524130099764783,0.8741867785939139,0.2181689624469701,0.35819162886686584
CHE,70,1.0,1,0,0,7049,5798,493,0.5486884097454658,0.9346327234155396,0.5284107946026987,0.6914512727451076
BEL,70,1.0,1,0,0,7627,14939,258,0.3379863511477444,0.967279644895371,0.3341657903960743,0.5009359298545204
ALB,70,1.0,1,0,0,1703,5064,101,0.2516624796808039,0.9440133037694013,0.24796156086196855,0.39738653599346635
EST,70,1.0,1,0,0,3762,5951,2988,0.3873159682899207,0.5573333333333333,0.296197149830722,0.45702484358865336
AUT,70,1.0,1,0,0,7020,17132,307,0.2906591586618085,0.9581001774259588,0.28701091622715563,0.44601162679881823
DNK,70,1.0,1,0,0,6671,12563,3822,0.34683373193303524,0.6357571714476318,0.2893390006939625,0.4488175732499075
HUN,70,1.0,1,0,0,5758,27608,51,0.17257088053707367,0.9912205198829402,0.17230750815453214,0.29396298659859604
IRL,70,1.0,1,0,0,3110,19479,6,0.1376776307052105,0.9980744544287549,0.13764107103341447,0.24197626920832524
LIE,70,1.0,1,0,0,27,92,0,0.226890756302521,1.0,0.226890756302521,0.3698630136986301
GRC,70,1.0,1,0,0,8591,44458,201,0.16194461724066428,0.9771383075523203,0.16133333333333333,0.27784156142365096
BLR,70,1.0,1,0,0,13752,21640,14769,0.3885623869801085,0.48217103187125276,0.27415721377165525,0.4303349866224399
LTU,70,1.0,1,0,0,5255,7752,5823,0.4040132236488045,0.47436360353854484,0.27907594264471586,0.43637118538509445
LUX,70,1.0,1,0,0,991,1116,8,0.4703369719981016,0.991991991991992,0.4685579196217494,0.6381197681905988
HRV,70,1.0,1,0,0,6883,14068,647,0.32852847119469236,0.9140770252324038,0.3186869154551347,0.4833397703732313
CZE,70,1.0,1,0,0,11499,25119,291,0.3140258889070949,0.9753180661577608,0.31155002844834595,0.475086762518592
MNE,70,1.0,1,0,0,896,2094,129,0.29966555183946486,0.8741463414634146,0.28727156139788396,0.4463262764632628
MKD,70,1.0,1,0,0,1303,6526,51,0.16643249457146506,0.9623338257016248,0.16535532994923857,0.28378525536317106
LVA,70,1.0,1,0,0,2116,8468,127,0.1999244142101285,0.9433794025858225,0.19755391653440388,0.32992905589771576
NLD,70,1.0,1,0,0,3924,15532,48,0.20168585526315788,0.9879154078549849,0.20118949958982774,0.3349837800921973
DEU,70,1.0,1,0,0,42700,102846,579,0.2933780385582565,0.9866216871924027,0.29221556886227545,0.4522706209453197
MDA,70,1.0,1,0,0,4122,4826,3314,0.4606616003576218,0.5543302850995159,0.336160495840809,0.503173828125
SVN,70,1.0,1,0,0,2208,5228,160,0.2969338353953739,0.9324324324324325,0.29067930489731436,0.4504283965728274
ESP,70,1.0,1,0,0,39005,103295,7175,0.2741040056219255,0.8446297098310958,0.2609466465964208,0.41389006791171473
SRB,70,1.0,1,0,0,6114,23049,266,0.20964921304392553,0.958307210031348,0.2077542560059805,0.34403398700166
PRT,70,1.0,1,0,0,13643,28372,1322,0.3247173628466024,0.9116605412629468,0.3148118236149249,0.47886977886977883
SVK,70,1.0,1,0,0,5024,10763,627,0.3182365237220498,0.8890461865156609,0.3060801754599732,0.46870043847373827
POL,70,1.0,1,0,0,31299,103903,344,0.2314980547625035,0.9891287172518408,0.2309105395954141,0.37518655039108156
ITA,70,1.0,1,0,0,46658,72426,1378,0.3918074636391119,0.9713131817803314,0.3873254636316847,0.5583772139779799
ROU,70,1.0,1,0,0,18123,64651,2325,0.21894556261628048,0.8862969483568075,0.21296372460310933,0.35114607351146077
FRA,70,1.0,1,0,0,57120,128994,14433,0.30690866888036367,0.7982893799002139,0.28482101452527336,0.44336294519670744
GBR,70,1.0,1,0,0,20908,68012,3715,0.23513270355375618,0.8491248020143768,0.22570302801316997,0.36828338162634416
UKR,70,1.0,1,0,0,67655,74500,58936,0.475924167282192,0.5344376772440379,0.33643972132019834,0.5034865635209455
