country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,50,53,3,0.4854368932038835,0.9433962264150944,0.4716981132075472,0.6410256410256411
BIH,70,0.2,1,0,0,3151,11747,438,0.21150489998657537,0.8779604346614656,0.20546426708398538,0.3408881917022773
AUT,70,0.2,1,0,0,7016,17082,307,0.29114449331894765,0.9580772907278438,0.2874820733456259,0.44658031252983676
CHE,70,0.2,1,0,0,7051,5780,486,0.5495284856986985,0.9355181106541064,0.5294736051663288,0.6923605655930871
BEL,70,0.2,1,0,0,7625,14947,258,0.3378079035973773,0.9672713433971838,0.3339903635567236,0.500738794943359
EST,70,0.2,1,0,0,3743,5746,3017,0.39445673938244286,0.553698224852071,0.29929633775787623,0.46070527417071816
BGR,70,0.2,1,0,0,8322,28645,1201,0.2251197013552628,0.8738842801638139,0.21803605114231817,0.3580124758012476
ALB,70,0.2,1,0,0,1711,5052,101,0.25299423332840454,0.9442604856512141,0.24927156177156176,0.399067055393586
BLR,70,0.2,1,0,0,13764,21608,14760,0.3891213389121339,0.48254101809002947,0.2745551743397431,0.43082509077250536
DNK,70,0.2,1,0,0,6670,12448,3809,0.3488858667224605,0.6365111174730413,0.29092336546429975,0.45072135689427983
CZE,70,0.2,1,0,0,11504,25113,285,0.31417101346369175,0.975824921537026,0.3117446208877568,0.4753129777300335
GRC,70,0.2,1,0,0,8542,44366,203,0.1614500642624934,0.9767867352773013,0.16083297245391726,0.2770992490227564
HUN,70,0.2,1,0,0,5745,27620,51,0.17218642289824668,0.9912008281573499,0.17192362939909026,0.2934041520900897
HRV,70,0.2,1,0,0,6846,14062,651,0.3274344748421657,0.9131652661064426,0.3175471960666079,0.48202781200492867
LIE,70,0.2,1,0,0,27,92,0,0.226890756302521,1.0,0.226890756302521,0.3698630136986301
IRL,70,0.2,1,0,0,3116,19492,6,0.1378273177636235,0.9980781550288277,0.1377907490934819,0.24220753983676643
LUX,70,0.2,1,0,0,991,1116,8,0.4703369719981016,0.991991991991992,0.4685579196217494,0.6381197681905988
LTU,70,0.2,1,0,0,5252,7716,5829,0.40499691548426897,0.4739644436422705,0.2794062882374847,0.43677491787600314
MKD,70,0.2,1,0,0,1301,6502,49,0.16673074458541587,0.9637037037037037,0.16569026999490577,0.28427837867365896
LVA,70,0.2,1,0,0,2121,8439,126,0.20085227272727274,0.9439252336448598,0.19848399775407075,0.3312251112672757
MDA,70,0.2,1,0,0,4120,4838,3305,0.45992409019870506,0.5548821548821549,0.3359699910299274,0.5029603857657328
MNE,70,0.2,1,0,0,886,2097,128,0.2970164264163594,0.873767258382643,0.2847958855673417,0.4433324993745309
NLD,70,0.2,1,0,0,3927,15448,48,0.20268387096774193,0.9879245283018868,0.20218297894249085,0.3363597430406852
DEU,70,0.2,1,0,0,42667,102919,580,0.29307076229857265,0.9865886651097185,0.2919078308224895,0.451901945104934
ITA,70,0.2,1,0,0,46642,72300,1394,0.3921407072354593,0.9709800982596386,0.38759805876878073,0.5586604223310856
SRB,70,0.2,1,0,0,6114,23027,266,0.20980748773206137,0.958307210031348,0.20790968136838167,0.34424706511641007
SVN,70,0.2,1,0,0,2206,5231,160,0.29662498319214736,0.9323753169907016,0.29037778070290904,0.45006630623278593
POL,70,0.2,1,0,0,31303,103925,344,0.23148312479663974,0.9891300913198724,0.23089576018646918,0.37516704119850186
SVK,70,0.2,1,0,0,5029,10758,639,0.3185532400076012,0.8872618207480593,0.30616096432485085,0.46879515264507116
PRT,70,0.2,1,0,0,13658,28329,1323,0.3252911615500036,0.9116881383085241,0.315354421611637,0.47949726162055895
ESP,70,0.2,1,0,0,39040,103313,7165,0.27424782055875185,0.844930202359052,0.261105686271887,0.41409009429459376
ROU,70,0.2,1,0,0,18119,64646,2327,0.2189210415030508,0.886188007434217,0.21293423588586471,0.3511059867649766
FRA,70,0.2,1,0,0,57166,128975,14427,0.3071112758607722,0.7984858854915984,0.28502054166168084,0.44360464665119853
GBR,70,0.2,1,0,0,20920,67947,3711,0.23540796921241855,0.8493362023466363,0.22597161312622868,0.36864085710761424
UKR,70,0.2,1,0,0,67638,74381,58959,0.4762602187031313,0.5342780634612194,0.3365442983809173,0.50360365726539
