country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,0,0,0,47,50,5,0.4845360824742268,0.9038461538461539,0.46078431372549017,0.6308724832214765
BEL,70,0.2,0,0,0,8139,13490,800,0.3763003375098248,0.9105045307081329,0.3628784163359936,0.5325176655325832
BIH,70,0.2,0,0,0,2555,8335,701,0.23461891643709826,0.7847051597051597,0.22042964368906912,0.3612328573448325
BGR,70,0.2,0,0,0,7210,24417,1596,0.2279697726625984,0.8187599364069952,0.21701833067453272,0.35663937872529866
CHE,70,0.2,0,0,0,6658,4928,749,0.5746590712929398,0.8988794383691103,0.5397648966355898,0.7011004054125205
ALB,70,0.2,0,0,0,1423,3360,204,0.2975120217436755,0.8746158574062692,0.285341888911169,0.44399375975039007
EST,70,0.2,0,0,0,2899,4102,3919,0.4140837023282388,0.4251980052801408,0.2654761904761905,0.4195672624647225
DNK,70,0.2,0,0,0,7055,10264,6239,0.4073560829147179,0.530690537084399,0.2994736395279735,0.4609152974226636
AUT,70,0.2,0,0,0,7155,14172,901,0.33549022366014913,0.8881578947368421,0.32189130825985246,0.4870163019433006
BLR,70,0.2,0,0,0,11168,15617,17148,0.41694978532760874,0.3944059895465461,0.2542052671112831,0.4053646939257
HUN,70,0.2,0,0,0,5872,23406,86,0.20056014755106222,0.9855656260490098,0.19997275575534668,0.33329549324554425
CZE,70,0.2,0,0,0,11376,21327,357,0.3478579946793872,0.9695729992329327,0.3441016333938294,0.5120172832838239
DEU,70,0.2,0,0,0,44392,90562,3435,0.3289417134727389,0.9281786438622536,0.32077694036375726,0.4857397650740503
LIE,70,0.2,0,0,0,26,90,0,0.22413793103448276,1.0,0.22413793103448276,0.36619718309859156
IRL,70,0.2,0,0,0,3085,15915,149,0.16236842105263158,0.9539270253555968,0.16110501853882708,0.2775029234505712
LUX,70,0.2,0,0,0,972,1008,4,0.4909090909090909,0.9959016393442623,0.4899193548387097,0.6576454668470906
GRC,70,0.2,0,0,0,7343,35609,527,0.17095827900912647,0.9330368487928844,0.1688861289358081,0.28896934398488844
LTU,70,0.2,0,0,0,4069,5916,6788,0.4075112669003505,0.37478124712167266,0.2425922613724438,0.39046156798771714
MKD,70,0.2,0,0,0,1056,4819,128,0.17974468085106382,0.8918918918918919,0.175912043978011,0.2991925201869953
LVA,70,0.2,0,0,0,2188,5980,351,0.2678746327130264,0.8617565970854667,0.2568376570019955,0.4087045857850004
MNE,70,0.2,0,0,0,665,1375,325,0.32598039215686275,0.6717171717171717,0.28118393234672306,0.438943894389439
MDA,70,0.2,0,0,0,3504,3914,3960,0.47236451873820434,0.4694533762057878,0.30796273510283,0.47090444832683775
SRB,70,0.2,0,0,0,5441,18136,333,0.2307757560334224,0.9423276757880152,0.2275616896695943,0.37075397771796526
NLD,70,0.2,0,0,0,4706,13739,685,0.25513689346706425,0.872936375440549,0.2460010454783063,0.39486491021983555
HRV,70,0.2,0,0,0,5969,10626,997,0.3596866526062067,0.8568762561010623,0.3393019554342883,0.506684775688638
SVK,70,0.2,0,0,0,4739,9156,785,0.3410579345088161,0.8578928312816799,0.3228201634877384,0.48807868582316283
SVN,70,0.2,0,0,0,2083,4118,227,0.33591356232865666,0.9017316017316017,0.324051026757934,0.48948419692163087
PRT,70,0.2,0,0,0,12428,24364,1934,0.33779082409219396,0.8653390892633338,0.3209213448329288,0.48590530554795325
ESP,70,0.2,0,0,0,34211,83553,10346,0.2905047382901396,0.7678030388042283,0.26704394660838343,0.4215227850986626
ITA,70,0.2,0,0,0,42366,60484,2287,0.41192027224112787,0.9487828365395382,0.40295994749707525,0.574442553710772
POL,70,0.2,0,0,0,30904,85818,692,0.26476585390928875,0.9780984934801874,0.26320540991704566,0.4167262233848892
FRA,70,0.2,0,0,0,60162,108849,18643,0.3559649963611836,0.7634287164520017,0.3206006799748473,0.48553765697130125
ROU,70,0.2,0,0,0,16750,55753,2702,0.23102492310663006,0.8610939749126054,0.2227245528887707,0.36430862922081453
GBR,70,0.2,0,0,0,22918,56076,9455,0.2901233005038357,0.707935625366818,0.25910976947167297,0.41157614014923627
UKR,70,0.2,0,0,0,55741,59755,68432,0.4826227748147122,0.44889790856305317,0.30305880561959025,0.46514985250491303
