country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,43,48,5,0.4725274725274725,0.8958333333333334,0.4479166666666667,0.618705035971223
BIH,70,0.2,1,0,0,2268,7688,783,0.2278023302531137,0.7433628318584071,0.2111928484961356,0.3487352963788729
BGR,70,0.2,1,0,0,6949,22950,2072,0.23241579985952707,0.7703137124487307,0.21735322636139,0.3570914696813977
CHE,70,0.2,1,0,0,6424,4939,636,0.5653436592449177,0.909915014164306,0.5353779481623469,0.6973891331487815
BEL,70,0.2,1,0,0,7342,14223,289,0.3404590772084396,0.9621281614467304,0.3359568042463622,0.5029456089875325
ALB,70,0.2,1,0,0,1431,3093,170,0.3163129973474801,0.8938163647720175,0.3048572645930976,0.46726530612244893
AUT,70,0.2,1,0,0,5916,14331,348,0.29219143576826195,0.9444444444444444,0.2872541879096868,0.4463053072309607
BLR,70,0.2,1,0,0,9756,11854,19325,0.45145765849143915,0.335476771775386,0.23832905826310002,0.3849204000710186
EST,70,0.2,1,0,0,2415,3309,4072,0.4219077568134172,0.37228302759364884,0.24652919559003675,0.3955450004094669
DNK,70,0.2,1,0,0,5648,10516,4928,0.34941846077703537,0.5340393343419062,0.2677792527972691,0.4224382946896036
CZE,70,0.2,1,0,0,9988,20589,427,0.32665075056414955,0.9590014402304369,0.32215198038962717,0.48731459797033577
HUN,70,0.2,1,0,0,5058,24036,65,0.17385027840791917,0.9873121218036307,0.17346273877704996,0.2956425168775755
IRL,70,0.2,1,0,0,2118,13611,6,0.1346557314514591,0.9971751412429378,0.134604385128694,0.23727104688287684
LIE,70,0.2,1,0,0,21,88,0,0.1926605504587156,1.0,0.1926605504587156,0.3230769230769231
GRC,70,0.2,1,0,0,6059,33235,548,0.15419656945080673,0.9170576661116997,0.15207569901109383,0.26400296289841174
LTU,70,0.2,1,0,0,3769,4828,7438,0.4384087472374084,0.33630766485232444,0.23504833177424383,0.3806301757220763
LUX,70,0.2,1,0,0,969,969,9,0.5,0.99079754601227,0.49768875192604006,0.6646090534979424
DEU,70,0.2,1,0,0,39819,94127,654,0.2972765144162573,0.9838410792380106,0.2958320950965825,0.45659016506229255
ITA,70,0.2,1,0,0,35101,52346,3225,0.4013974178645351,0.9158534676198925,0.38712061055232044,0.5581643118952399
MKD,70,0.2,1,0,0,987,4606,225,0.17647058823529413,0.8143564356435643,0.1696459264352011,0.29008082292432036
MNE,70,0.2,1,0,0,511,902,504,0.3616418966737438,0.503448275862069,0.2665623369848722,0.42092257001647443
LVA,70,0.2,1,0,0,1613,5356,166,0.23145358014062276,0.9066891512085441,0.2260686755430974,0.3687700045724737
NLD,70,0.2,1,0,0,3734,14517,54,0.204591529231275,0.9857444561774024,0.20398798142583993,0.33885384999319385
FRA,70,0.2,1,0,0,50214,104298,19384,0.32498446722584656,0.7214862496048737,0.2887587983622395,0.44811922716523134
HRV,70,0.2,1,0,0,5000,8631,1229,0.3668109456386179,0.8026970621287526,0.3364737550471063,0.5035246727089627
MDA,70,0.2,1,0,0,3637,4241,4045,0.46166539730896167,0.4734444155167925,0.3050406776817915,0.4674807197943444
SRB,70,0.2,1,0,0,4882,17595,447,0.21719980424433866,0.9161193469694127,0.21296457860757284,0.35114723440983964
SVN,70,0.2,1,0,0,1829,4088,258,0.3091093459523407,0.8763775754671778,0.2961943319838057,0.4570214892553722
POL,70,0.2,1,0,0,25789,80418,520,0.24281826998220457,0.9802349006043559,0.24163520008994913,0.38922092426574906
SVK,70,0.2,1,0,0,4475,9459,646,0.32115688244581597,0.8738527631322007,0.3069272976680384,0.46969299396483866
PRT,70,0.2,1,0,0,10988,20541,3395,0.34850455136540964,0.7639574497670861,0.3146260451265605,0.47865481791252834
ESP,70,0.2,1,0,0,28181,69910,15079,0.2872944510709443,0.6514331946370782,0.24901475656092603,0.39873789361235507
GBR,70,0.2,1,0,0,17373,54710,5086,0.2410138312778325,0.7735429003962777,0.22512926175018466,0.36751919781684333
ROU,70,0.2,1,0,0,15595,53698,3137,0.2250588082490295,0.8325325645953449,0.21531133508214828,0.3543311559216132
UKR,70,0.2,1,0,0,54629,52765,77097,0.5086783246736317,0.41471691237872554,0.2961065851450748,0.45691702910672466
