country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,5,48,49,7,0.4948453608247423,0.8727272727272727,0.46153846153846156,0.6315789473684211
BIH,70,0.2,1,0,5,1819,5903,911,0.23556073556073556,0.6663003663003663,0.2107031159504228,0.34806735553004214
CHE,70,0.2,1,0,5,6590,4841,754,0.5765024932201908,0.8973311546840959,0.5408288879770209,0.7019973368841546
BEL,70,0.2,1,0,5,8139,13170,809,0.38195128818808954,0.9095887349128297,0.3679808300931368,0.5379912086459331
AUT,70,0.2,1,0,5,7080,14083,900,0.33454614185134435,0.8872180451127819,0.32089924307664414,0.48587997117661186
DNK,70,0.2,1,0,5,7113,10144,6254,0.41218056440864576,0.532131368295055,0.3025392369529157,0.46453761755485895
BGR,70,0.2,1,0,5,5103,14001,3461,0.26711683417085424,0.595866417561887,0.2261466873476623,0.3688737892149776
ALB,70,0.2,1,0,5,1056,2091,246,0.33555767397521447,0.8110599078341014,0.3112290008841733,0.4747134187457856
EST,70,0.2,1,0,5,2864,4038,3909,0.4149521877716604,0.422855455485014,0.2649153639811303,0.4188665447897624
BLR,70,0.2,1,0,5,10507,14449,18177,0.4210209969546402,0.36630177102217265,0.24359539099993044,0.39175988068605516
HUN,70,0.2,1,0,5,5152,20590,115,0.2001398492735607,0.9781659388646288,0.19924971961171056,0.33229062530233155
IRL,70,0.2,1,0,5,2476,13246,163,0.15748632489505152,0.93823417961349,0.15587031790997796,0.2697020859430314
CZE,70,0.2,1,0,5,11200,21178,372,0.34591389214899004,0.9678534393363291,0.3419847328244275,0.50967007963595
LIE,70,0.2,1,0,5,19,69,0,0.2159090909090909,1.0,0.2159090909090909,0.3551401869158879
GRC,70,0.2,1,0,5,4152,23456,936,0.15039119095914227,0.8160377358490566,0.14545964125560537,0.2539760215316858
HRV,70,0.2,1,0,5,4346,7515,1542,0.36641092656605684,0.7381114130434783,0.3242557636350071,0.48971773057637047
LUX,70,0.2,1,0,5,962,933,6,0.5076517150395778,0.993801652892562,0.5060494476591267,0.6720223541739434
LTU,70,0.2,1,0,5,3722,5664,7146,0.3965480502876625,0.3424733161575267,0.22513912412291315,0.3675323392910042
MKD,70,0.2,1,0,5,616,2365,412,0.2066420664206642,0.5992217898832685,0.18155025051576776,0.3073085557495635
LVA,70,0.2,1,0,5,2072,5205,351,0.28473271952727774,0.8551382583574082,0.2716308337703199,0.4272164948453609
MNE,70,0.2,1,0,5,471,866,498,0.35228122662677636,0.48606811145510836,0.2566757493188011,0.4084995663486557
DEU,70,0.2,1,0,5,44406,90540,3450,0.32906495931706015,0.9279087261785356,0.3208618746206538,0.4858371352611021
MDA,70,0.2,1,0,5,3048,3237,4618,0.48496420047732697,0.3975997912861988,0.27955608548106026,0.43695792416314244
NLD,70,0.2,1,0,5,4705,13735,685,0.25515184381778744,0.87291280148423,0.24601307189542485,0.394880402853546
SRB,70,0.2,1,0,5,3067,8543,964,0.2641688199827735,0.760853386256512,0.24391601717830444,0.3921744134006777
ITA,70,0.2,1,0,5,42378,60479,2282,0.4120089055679244,0.9489028213166144,0.4030664168386612,0.5745507297464022
SVN,70,0.2,1,0,5,1908,3674,232,0.341812970261555,0.891588785046729,0.3281733746130031,0.49417249417249415
SVK,70,0.2,1,0,5,4648,8899,785,0.34310179375507494,0.8555126081354685,0.3243092380686575,0.4897787144362487
PRT,70,0.2,1,0,5,9590,16405,3537,0.3689170994422004,0.7305553439475889,0.32473249356630096,0.49026123408823674
ESP,70,0.2,1,0,5,27873,65735,14477,0.29776301170840097,0.6581582054309327,0.2578803719294999,0.4100236837846982
POL,70,0.2,1,0,5,30894,85797,694,0.26475049489677865,0.978029631505635,0.263185245133535,0.41670094888689563
FRA,70,0.2,1,0,5,60094,108939,18688,0.35551637845864414,0.76278845421543,0.3201240138290335,0.4849908197647439
ROU,70,0.2,1,0,5,9605,26999,7441,0.26240301606381816,0.5634753021236654,0.21807242592802814,0.35806150978564766
GBR,70,0.2,1,0,5,22882,56092,9488,0.28974092739382584,0.7068890948409021,0.2586647374013701,0.41101451357953733
UKR,70,0.2,1,0,5,42981,41379,88961,0.5094950213371267,0.3257567719149323,0.24798495277548596,0.39741657497387917
