country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,1,5,48,49,7,0.4948453608247423,0.8727272727272727,0.46153846153846156,0.6315789473684211
BEL,70,0.2,1,1,5,8142,13167,809,0.3820920737716458,0.9096190369791085,0.36811646622660277,0.5381361533377397
BGR,70,0.2,1,1,5,5103,14015,3438,0.26692122606967256,0.5974710221285564,0.22623692143997162,0.3689938175639033
ALB,70,0.2,1,1,5,1057,2088,246,0.33608903020667724,0.8112049117421335,0.31170746092598056,0.47526978417266175
BIH,70,0.2,1,1,5,1816,5908,916,0.2351113412739513,0.664714494875549,0.2101851851851852,0.3473603672532517
BLR,70,0.2,1,1,5,10516,14430,18171,0.4215505491862423,0.366577195245233,0.2438945195630494,0.3921466261443514
AUT,70,0.2,1,1,5,7086,14102,899,0.3344345856144988,0.8874139010644959,0.3208222031058994,0.4857916566688376
CZE,70,0.2,1,1,5,11202,21186,377,0.3458688403112264,0.9674410570861042,0.3418892110483748,0.5095639911751996
EST,70,0.2,1,1,5,2880,4034,3878,0.41654613827017645,0.42616158626812667,0.2668643439584878,0.4212990052662376
CHE,70,0.2,1,1,5,6587,4838,754,0.576542669584245,0.897289197656995,0.5408490023811479,0.7020142811467548
ESP,70,0.2,1,1,5,27907,65750,14461,0.2979702531577992,0.6586810800604229,0.2581161323738878,0.41032163205293143
DNK,70,0.2,1,1,5,7098,10160,6255,0.4112875188318461,0.5315659402381487,0.3018755582018458,0.4637548593642808
FRA,70,0.2,1,1,5,60162,108849,18643,0.3559649963611836,0.7634287164520017,0.3206006799748473,0.48553765697130125
DEU,70,0.2,1,1,5,44392,90562,3435,0.3289417134727389,0.9281786438622536,0.32077694036375726,0.4857397650740503
HUN,70,0.2,1,1,5,5150,20587,115,0.2001010218751214,0.9781576448243114,0.19921089277425344,0.3322366298948455
IRL,70,0.2,1,1,5,2477,13240,163,0.15760005090029905,0.9382575757575757,0.15598236775818639,0.2698698044342758
GBR,70,0.2,1,1,5,22918,56076,9455,0.2901233005038357,0.707935625366818,0.25910976947167297,0.41157614014923627
GRC,70,0.2,1,1,5,4156,23459,936,0.15049791779829802,0.8161822466614297,0.14556407831599594,0.2541352004158131
HRV,70,0.2,1,1,5,4350,7510,1543,0.36677908937605397,0.7381639232988291,0.32455420428262327,0.4900580183630936
LUX,70,0.2,1,1,5,953,938,6,0.5039661554732946,0.9937434827945777,0.5023721665788087,0.6687719298245615
ITA,70,0.2,1,1,5,42366,60484,2287,0.41192027224112787,0.9487828365395382,0.40295994749707525,0.574442553710772
LIE,70,0.2,1,1,5,21,69,0,0.23333333333333334,1.0,0.23333333333333334,0.37837837837837834
LVA,70,0.2,1,1,5,2067,5224,355,0.2835002057330956,0.8534269199009084,0.2703374313366466,0.42561515494697827
MKD,70,0.2,1,1,5,583,2398,442,0.19557195571955718,0.568780487804878,0.17031843412211511,0.29106340489266097
LTU,70,0.2,1,1,5,3769,5624,7127,0.40125625465772385,0.3459067547723935,0.22814769975786925,0.37153137167923506
MNE,70,0.2,1,1,5,474,864,495,0.3542600896860987,0.4891640866873065,0.25859247135842883,0.41092327698309494
MDA,70,0.2,1,1,5,3047,3237,4619,0.48488224061107577,0.39746934516044874,0.2794643676052463,0.43684587813620074
NLD,70,0.2,1,1,5,4706,13739,685,0.25513689346706425,0.872936375440549,0.2460010454783063,0.39486491021983555
PRT,70,0.2,1,1,5,9603,16414,3523,0.3691048160817927,0.7316014017979583,0.32508463100880164,0.4906624428378
POL,70,0.2,1,1,5,30904,85818,692,0.26476585390928875,0.9780984934801874,0.26320540991704566,0.4167262233848892
SRB,70,0.2,1,1,5,3076,8535,959,0.26492119541813797,0.7623296158612144,0.2447096260938743,0.393199539818484
ROU,70,0.2,1,1,5,9600,27022,7463,0.2621375129703457,0.5626208755787376,0.21776114324600204,0.3576417993853032
SVN,70,0.2,1,1,5,1907,3681,233,0.3412670007158196,0.8911214953271028,0.32760694038824945,0.4935300207039337
SVK,70,0.2,1,1,5,4654,8883,786,0.3437984782448105,0.8555147058823529,0.3249319276687845,0.4904884860620752
UKR,70,0.2,1,1,5,43012,41341,88892,0.5099048048083649,0.3260856380397865,0.2482726774221478,0.39778596762185736
