country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,31,37,8,0.45588235294117646,0.7948717948717948,0.40789473684210525,0.5794392523364486
BIH,70,0.2,1,0,0,2665,9016,643,0.22814827497645748,0.8056227327690447,0.21624472573839662,0.35559410234171723
BGR,70,0.2,1,0,0,7943,27174,1346,0.2261867471594954,0.8550974270642696,0.2178372596879028,0.35774444894834034
CHE,70,0.2,1,0,0,6687,5131,602,0.5658317820274158,0.9174097955823844,0.5384057971014493,0.6999528968440885
BEL,70,0.2,1,0,0,7586,14770,258,0.3393272499552693,0.9671086180520143,0.33545591226673743,0.502384105960265
ALB,70,0.2,1,0,0,1562,3709,140,0.2963384557010055,0.917743830787309,0.2886712252818333,0.44801376738849846
AUT,70,0.2,1,0,0,6583,15698,318,0.2954535254252502,0.9539197217794523,0.2912960750475685,0.45116852854499345
EST,70,0.2,1,0,0,3041,4733,3564,0.39117571391818884,0.46040878122634366,0.26821308872817073,0.42297795396063703
BLR,70,0.2,1,0,0,12796,18489,15762,0.4090139044270417,0.44807059317879405,0.27198333581312306,0.4276523570008188
DNK,70,0.2,1,0,0,6488,12143,3941,0.348236809618378,0.6221114200786269,0.28743576111997166,0.4465244322092223
CZE,70,0.2,1,0,0,11135,23741,303,0.3192739993118477,0.9735093547823046,0.3165240626510134,0.4808481236775058
HUN,70,0.2,1,0,0,5530,26445,52,0.17294761532447225,0.9906843425295593,0.17266681237705686,0.2944857150464627
IRL,70,0.2,1,0,0,2930,18323,5,0.13786288994494894,0.9982964224872232,0.1378304638253834,0.24226889366628082
LIE,70,0.2,1,0,0,26,83,0,0.23853211009174313,1.0,0.23853211009174313,0.38518518518518524
GRC,70,0.2,1,0,0,7487,38146,414,0.164069861722876,0.9476015694215922,0.1625947401567963,0.27971009078342735
LTU,70,0.2,1,0,0,4856,6656,6210,0.4218207088255733,0.4388216157599855,0.27400970545085207,0.4301532465231641
LUX,70,0.2,1,0,0,980,1064,5,0.4794520547945205,0.9949238578680203,0.4782820888238165,0.6470782436447672
DEU,70,0.2,1,0,0,42082,100779,587,0.29456604671673864,0.9862429398392275,0.29336066030896213,0.45364092060583194
MKD,70,0.2,1,0,0,1155,5364,69,0.1771744132535665,0.9436274509803921,0.17531876138433516,0.29833397907787684
ITA,70,0.2,1,0,0,42217,64175,2147,0.3968061508384089,0.9516049048778289,0.3889569647776375,0.5600705776221179
MNE,70,0.2,1,0,0,710,1476,336,0.32479414455626715,0.6787762906309751,0.28152260111023,0.43935643564356436
LVA,70,0.2,1,0,0,1918,7406,159,0.2057057057057057,0.9234472797303803,0.2022566698302225,0.33646171388474694
HRV,70,0.2,1,0,0,6200,11548,848,0.3493351363533919,0.8796821793416572,0.3334050333405033,0.5000806581706727
NLD,70,0.2,1,0,0,3897,15240,47,0.20363693368866592,0.9880831643002028,0.20313803169307756,0.3376803431393787
FRA,70,0.2,1,0,0,55696,124212,15233,0.30958045223114034,0.7852359401655177,0.2854141364449296,0.44408121608853557
MDA,70,0.2,1,0,0,3980,4640,3500,0.4617169373549884,0.5320855614973262,0.32838283828382836,0.49440993788819876
SRB,70,0.2,1,0,0,5619,20011,326,0.21923527116660163,0.9451640033641716,0.21648173832639853,0.35591448931116393
SVN,70,0.2,1,0,0,2093,4598,213,0.3128082498879091,0.9076322636600174,0.3031575898030128,0.4652661998443926
POL,70,0.2,1,0,0,29842,98121,397,0.23320803669810805,0.986871258970204,0.2324867559987535,0.3772645099303422
SVK,70,0.2,1,0,0,4838,10094,611,0.32400214304848646,0.8878693338227198,0.31126552145660424,0.4747559001030372
PRT,70,0.2,1,0,0,13052,26471,1666,0.3302380892138755,0.8868052724554967,0.3168807205807376,0.4812595637986026
ESP,70,0.2,1,0,0,35890,93627,8758,0.27710648023039447,0.8038433972406379,0.25955523413487613,0.4121379151953607
GBR,70,0.2,1,0,0,20242,64976,3968,0.23753197681241053,0.8361007847996695,0.22696387325364967,0.3699601564499032
ROU,70,0.2,1,0,0,17400,61115,2523,0.22161370438769662,0.8733624454148472,0.21471408475036402,0.35352201385643756
UKR,70,0.2,1,0,0,64978,69884,61769,0.48181103646690693,0.5126590767434338,0.3304565404234327,0.4967566100554645
