country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,1,5,7,0,19,1.0,0.2692307692307692,0.2692307692307692,0.42424242424242425
BEL,70,0.2,1,1,5,4601,5825,3236,0.4413005946671782,0.5870868954957255,0.33677353242570635,0.5038602639215901
BGR,70,0.2,1,1,5,3659,9858,4739,0.2706961603906192,0.43569897594665397,0.20042725679228746,0.333926534337212
ALB,70,0.2,1,1,5,390,358,684,0.5213903743315508,0.36312849162011174,0.2723463687150838,0.4281009879253568
BIH,70,0.2,1,1,5,527,1634,1973,0.24386857936140677,0.2108,0.12747943880019352,0.22613173138811413
BLR,70,0.2,1,1,5,2831,2187,30118,0.5641689916301316,0.08592066527056967,0.0805726320582878,0.14912950720362422
AUT,70,0.2,1,1,5,2864,4119,2188,0.410138908778462,0.566904196357878,0.3122887362337804,0.4759451599501454
CZE,70,0.2,1,1,5,5204,6226,1862,0.4552930883639545,0.7364845740164166,0.3915136924465844,0.5627162629757786
EST,70,0.2,1,1,5,735,618,6797,0.5432372505543237,0.09758364312267657,0.09018404907975461,0.1654473832301632
CHE,70,0.2,1,1,5,3038,1886,3110,0.6169780666125102,0.49414443721535456,0.3781428927059995,0.548771676300578
ESP,70,0.2,1,1,5,10885,17067,36077,0.3894175729822553,0.23178314381840637,0.170001093254619,0.29059988787142593
DNK,70,0.2,1,1,5,3884,5052,12472,0.43464637421665175,0.23746637319638053,0.18142750373692076,0.30713269017871264
FRA,70,0.2,1,1,5,27530,32265,54999,0.4604063884940212,0.33357971137418363,0.2398208965625381,0.3868637756105786
DEU,70,0.2,1,1,5,26608,43211,5590,0.3810997006545496,0.8263867320951612,0.3528491294142609,0.5216385504376723
HUN,70,0.2,1,1,5,3207,11107,295,0.2240463881514601,0.9157624214734438,0.21952221233486208,0.3600134710372699
IRL,70,0.2,1,1,5,826,3237,360,0.2032980556239232,0.6964586846543002,0.18675107393172055,0.3147266145932558
GBR,70,0.2,1,1,5,13084,24254,16089,0.35042048315389146,0.4484968978164741,0.24489490332603364,0.3934386793162033
GRC,70,0.2,1,1,5,2143,9541,1894,0.18341321465251625,0.5308397324746098,0.1578288407718368,0.2726289676229247
HRV,70,0.2,1,1,5,1400,1731,4006,0.4471414883423826,0.2589715131335553,0.1961608518985568,0.32798406934520324
LUX,70,0.2,1,1,5,446,275,512,0.6185852981969486,0.46555323590814196,0.36171938361719386,0.5312686122692077
ITA,70,0.2,1,1,5,17382,17421,10755,0.4994397034738385,0.617763087749227,0.38153562491768733,0.5523355576739751
LIE,70,0.2,1,1,5,8,61,1,0.11594202898550725,0.8888888888888888,0.11428571428571428,0.20512820512820512
LVA,70,0.2,1,1,5,613,639,780,0.48961661341853036,0.44005743000717873,0.3016732283464567,0.46351606805293005
MKD,70,0.2,1,1,5,335,1372,737,0.19625073227885179,0.3125,0.13707037643207856,0.24109391867578264
LTU,70,0.2,1,1,5,1443,1573,10309,0.47844827586206895,0.12278761061946902,0.10829268292682927,0.1954225352112676
MNE,70,0.2,1,1,5,167,152,830,0.5235109717868338,0.1675025075225677,0.1453437771975631,0.2537993920972645
MDA,70,0.2,1,1,5,2642,2861,5220,0.4801017626749046,0.3360468074281353,0.246386272498368,0.39536101758323977
NLD,70,0.2,1,1,5,3174,8178,1124,0.2795983086680761,0.7384830153559795,0.2544084642513626,0.4056230031948882
PRT,70,0.2,1,1,5,4426,4434,11471,0.49954853273137695,0.2784173114424105,0.21769711278343418,0.35755543886577534
POL,70,0.2,1,1,5,9922,12870,3057,0.43532818532818535,0.7644656753216734,0.38384463615613756,0.5547510553241453
SRB,70,0.2,1,1,5,1529,4007,2225,0.2761921965317919,0.4072988811933937,0.1970106944981317,0.3291711517761033
SVK,70,0.2,1,1,5,2361,4242,1807,0.3575647432985007,0.5664587332053743,0.2807372175980975,0.43839940581190234
ROU,70,0.2,1,1,5,9268,27265,7517,0.25368844606246405,0.5521596663687817,0.2103972758229285,0.3476499493604411
SVN,70,0.2,1,1,5,585,658,824,0.47063555913113436,0.4151880766501065,0.2830188679245283,0.44117647058823534
UKR,70,0.2,1,1,5,34795,30993,101824,0.5288958472669788,0.25468639061916715,0.20759253514068204,0.34381221993310507
